id;opath;cpath;mgeom
10431002;14882;14882;LINESTRING(11.5348676217 48.1209085001,11.5348676217 48.1209085001)
10015011;115631;115631;LINESTRING(11.5997811203 48.1255963887,11.5997811203 48.1255963887)
10176008;597;597;LINESTRING(11.4237535956 48.1428423565,11.4237535956 48.1428423565)
4141012;8253;8253;LINESTRING(11.6259025117 48.1292260763,11.6259025117 48.1292260763)
10952008;68183;68183;LINESTRING(11.6011079288 48.1539534238,11.6011079288 48.1539534238)
10110002;20120;20120;LINESTRING(11.4909840138 48.1649860907,11.4909840138 48.1649860907)
10235006;105739;105739;LINESTRING(11.5726446494 48.1879014663,11.5726446494 48.1879014663)
10142004;29884;29884;LINESTRING(11.675204883 48.0852274131,11.675204883 48.0852274131)
10276002;128246;128246;LINESTRING(11.5394280898 48.1551664616,11.5394280898 48.1551664616)
10166001;128460;128460;LINESTRING(11.61023651 48.1181101608,11.61023651 48.1181101608)
10743007;114515;114515;LINESTRING(11.6463873181 48.0960605589,11.6463873181 48.0960605589)
11177009;81256;81256;LINESTRING(11.554729314 48.1862539621,11.554729314 48.1862539621)
10182011;4923;4923;LINESTRING(11.6137261875 48.1382130044,11.6137261875 48.1382130044)
4097013;103013;103013;LINESTRING(11.5481126424 48.112113815,11.5481126424 48.112113815)
10695001;120270;120270;LINESTRING(11.557262836 48.1779303138,11.557262836 48.1779303138)
10395002;1415;1415;LINESTRING(11.5080465472 48.1831805568,11.5080465472 48.1831805568)
10252008;61817;61817;LINESTRING(11.6202466858 48.1208442888,11.6202466858 48.1208442888)
10289003;118096;118096;LINESTRING(11.5623396683 48.1866017702,11.5623396683 48.1866017702)
10290006;67448;67448;LINESTRING(11.5920721871 48.1153936475,11.5920721871 48.1153936475)
10095012;120279;120279;LINESTRING(11.5653909777 48.187073538,11.5653909777 48.187073538)
11020002;11144;11144;LINESTRING(11.5662778648 48.1748549657,11.5662778648 48.1748549657)
10262002;108098;108098;LINESTRING(11.5510851646 48.1859760362,11.5510851646 48.1859760362)
10395003;100745;100745;LINESTRING(11.5077425354 48.1829032929,11.5077425354 48.1829032929)
10103004;107000;107000;LINESTRING(11.5677662987 48.1472178368,11.5677662987 48.1472178368)
10332004;24722;24722;LINESTRING(11.563099508 48.2046249393,11.563099508 48.2046249393)
10235007;116064;116064;LINESTRING(11.5734597185 48.1875774861,11.5734597185 48.1875774861)
10151002;54459;54459;LINESTRING(11.5837445131 48.1958128799,11.5837445131 48.1958128799)
10952009;68183;68183;LINESTRING(11.6011192763 48.1539677342,11.6011192763 48.1539677342)
11244001;61955;61955;LINESTRING(11.5268810692 48.1339954655,11.5268810692 48.1339954655)
10176009;113474;113474;LINESTRING(11.4237413453 48.1429770384,11.4237413453 48.1429770384)
10249013;53340;53340;LINESTRING(11.6114561062 48.1859678905,11.6114561062 48.1859678905)
4097021;123793;123793;LINESTRING(11.5481123597 48.1120529299,11.5481123597 48.1120529299)
4141021;147362;147362;LINESTRING(11.6259523621 48.1293357529,11.6259523621 48.1293357529)
10061002;147686;147686;LINESTRING(11.5643209025 48.1242320972,11.5643209025 48.1242320972)
10117001;133473;133473;LINESTRING(11.5731240043 48.1507971662,11.5731240043 48.1507971662)
10110003;116173;116173;LINESTRING(11.4910610124 48.1653473136,11.4910610124 48.1653473136)
10166002;128460;128460;LINESTRING(11.6102299958 48.1181148476,11.6102299958 48.1181148476)
10426009;129792;129792;LINESTRING(11.5686220194 48.1324662742,11.5686220194 48.1324662742)
10182012;4923;4923;LINESTRING(11.6137294131 48.1382128422,11.6137294131 48.1382128422)
10941027;103067;103067;LINESTRING(11.5527962048 48.1123377504,11.5527962048 48.1123377504)
10095013;117913;117913;LINESTRING(11.5653797872 48.1871805028,11.5653797872 48.1871805028)
10547009;11036;11036;LINESTRING(11.5348975671 48.1462398632,11.5348975671 48.1462398632)
10289004;58509;58509;LINESTRING(11.562337881 48.1866122944,11.562337881 48.1866122944)
10520007;44178;44178;LINESTRING(11.5091909248 48.0980380946,11.5091909248 48.0980380946)
10580011;118193;118193;LINESTRING(11.5590936658 48.1762781471,11.5590936658 48.1762781471)
10015012;115631;115631;LINESTRING(11.5997963183 48.125606512,11.5997963183 48.125606512)
10081004;45681;45681;LINESTRING(11.6255776959 48.0967838575,11.6255776959 48.0967838575)
10593001;15358;15358;LINESTRING(11.5228501659 48.106422245,11.5228501659 48.106422245)
10290007;67448;67448;LINESTRING(11.592086288 48.1153783031,11.592086288 48.1153783031)
10695002;120270;120270;LINESTRING(11.5572530154 48.1779457428,11.5572530154 48.1779457428)
10029008;46347;46347;LINESTRING(11.5648284443 48.1379264505,11.5648284443 48.1379264505)
10074001;58317;58317;LINESTRING(11.5636734061 48.1456081417,11.5636734061 48.1456081417)
11244005;93476;93476;LINESTRING(11.5279537826 48.1332311273,11.5279537826 48.1332311273)
10877004;66344;66344;LINESTRING(11.5649380896 48.1725020268,11.5649380896 48.1725020268)
10190008;168977;168977;LINESTRING(11.574793327 48.1599320083,11.574793327 48.1599320083)
10144001;80806;80806;LINESTRING(11.5491461202 48.1435461007,11.5491461202 48.1435461007)
11180005;90226;90226;LINESTRING(11.55819769 48.16860544,11.55819769 48.16860544)
10395004;52165;52165;LINESTRING(11.5078335308 48.1829860884,11.5078335308 48.1829860884)
4153022;167865;167865;LINESTRING(11.4565493531 48.1517981905,11.4565493531 48.1517981905)
10768001;44380;44380;LINESTRING(11.608405225 48.1836348918,11.608405225 48.1836348918)
11178011;91824;91824;LINESTRING(11.5978031607 48.1351885734,11.5978031607 48.1351885734)
10104005;58308;58308;LINESTRING(11.5699076236 48.1495325493,11.5699076236 48.1495325493)
4031016;110699;110699;LINESTRING(11.6163283411 48.1334288883,11.6163283411 48.1334288883)
10235008;116064;116064;LINESTRING(11.5734600842 48.1875774955,11.5734600842 48.1875774955)
10252009;61817;61817;LINESTRING(11.620248443 48.1208506022,11.620248443 48.1208506022)
10262003;108098;108098;LINESTRING(11.5508088459 48.1859832353,11.5508088459 48.1859832353)
11020003;66326;66326;LINESTRING(11.5670664263 48.1759617148,11.5670664263 48.1759617148)
10332005;126336;126336;LINESTRING(11.5636262135 48.2050965112,11.5636262135 48.2050965112)
10276003;68964;68964;LINESTRING(11.5398113461 48.1553942059,11.5398113461 48.1553942059)
