;id;opath;cpath;mgeom;lon;lat;flow
281;11028001;2620;2620;LINESTRING(11.5812273413 48.1670417245,11.5812273413 48.1670417245);11.5812273413;48.1670417245;4
282;4138013;30542;30542;LINESTRING(11.5014212796 48.1030934835,11.5014212796 48.1030934835);11.5014212796;48.1030934835;23
283;11338009;15522;15522;LINESTRING(11.532771541 48.2084057408,11.532771541 48.2084057408);11.532771541;48.2084057408;2
284;4097023;7354;7354;LINESTRING(11.5481045987 48.1121131114,11.5481045987 48.1121131114);11.5481045987;48.1121131114;16
285;4071012;1164;1164;LINESTRING(11.7151921179 48.1369248912,11.7151921179 48.1369248912);11.7151921179;48.1369248912;2
286;4157022;7327;7327;LINESTRING(11.5713286887 48.110809194,11.5713286887 48.110809194);11.5713286887;48.110809194;19
287;4063011;29189;29189;LINESTRING(11.6925217455 48.1334490223,11.6925217455 48.1334490223);11.6925217455;48.1334490223;9
288;10199027;6960;6960;LINESTRING(11.6015849724 48.1155444126,11.6015849724 48.1155444126);11.6015849724;48.1155444126;10
289;10011006;11947;11947;LINESTRING(11.584131388 48.1573053535,11.584131388 48.1573053535);11.584131388;48.1573053535;10
290;10204004;25536;25536;LINESTRING(11.5738922621 48.1326683267,11.5738922621 48.1326683267);11.5738922621;48.1326683267;3
291;11273005;7077;7077;LINESTRING(11.5575404495 48.1615066442,11.5575404495 48.1615066442);11.5575404495;48.1615066442;8
292;10039004;27988;27988;LINESTRING(11.5808007844 48.1155744359,11.5808007844 48.1155744359);11.5808007844;48.1155744359;5
293;10113022;11084;11084;LINESTRING(11.5969406925 48.149969705,11.5969406925 48.149969705);11.5969406925;48.149969705;1
294;10248001;33886;33886;LINESTRING(11.4657607911 48.1462057783,11.4657607911 48.1462057783);11.4657607911;48.1462057783;21
295;10070006;2210;2210;LINESTRING(11.5796015386 48.1294777675,11.5796015386 48.1294777675);11.5796015386;48.1294777675;9
296;4048012;1575;1575;LINESTRING(11.6894206197 48.1382776165,11.6894206197 48.1382776165);11.6894206197;48.1382776165;20
297;10519016;26210;26210;LINESTRING(11.5667934792 48.1845485517,11.5667934792 48.1845485517);11.5667934792;48.1845485517;1
298;10285009;3320;3320;LINESTRING(11.615886301 48.154334545,11.615886301 48.154334545);11.615886301;48.154334545;8
299;4161021;1723;1723;LINESTRING(11.6155453227 48.129091539,11.6155453227 48.129091539);11.6155453227;48.129091539;4
300;4131021;8826;8826;LINESTRING(11.6409482953 48.1059337054,11.6409482953 48.1059337054);11.6409482953;48.1059337054;21
301;10280006;8074;8074;LINESTRING(11.6137552125 48.1246794051,11.6137552125 48.1246794051);11.6137552125;48.1246794051;7
302;4152022;19505;19505;LINESTRING(11.4700730534 48.1775224723,11.4700730534 48.1775224723);11.4700730534;48.1775224723;4
303;4087012;26999;26999;LINESTRING(11.6733602055 48.1371637049,11.6733602055 48.1371637049);11.6733602055;48.1371637049;3
304;4009011;25987;25987;LINESTRING(11.5403516269 48.1830663783,11.5403516269 48.1830663783);11.5403516269;48.1830663783;74
305;4168011;414;414;LINESTRING(11.4661023576 48.1486424802,11.4661023576 48.1486424802);11.4661023576;48.1486424802;20
306;10285023;14259;14259;LINESTRING(11.6155132366 48.153887027,11.6155132366 48.153887027);11.6155132366;48.153887027;19
307;4133021;8774;8774;LINESTRING(11.5962209137 48.1420493834,11.5962209137 48.1420493834);11.5962209137;48.1420493834;22
308;4100021;28357;28357;LINESTRING(11.6152263039 48.1295803218,11.6152263039 48.1295803218);11.6152263039;48.1295803218;59
309;10518009;12883;12883;LINESTRING(11.5816128657 48.1171281105,11.5816128657 48.1171281105);11.5816128657;48.1171281105;29
310;4140022;9028;9028;LINESTRING(11.5726516054 48.1072715454,11.5726516054 48.1072715454);11.5726516054;48.1072715454;6
311;4111014;30329;30329;LINESTRING(11.549357621 48.1907965022,11.549357621 48.1907965022);11.549357621;48.1907965022;33
312;4025011;33690;33690;LINESTRING(11.5393046089 48.0917992589,11.5393046089 48.0917992589);11.5393046089;48.0917992589;22
313;10560008;14274;14274;LINESTRING(11.6303612209 48.1535072811,11.6303612209 48.1535072811);11.6303612209;48.1535072811;2
314;10253008;14828;14828;LINESTRING(11.6178975514 48.1158916782,11.6178975514 48.1158916782);11.6178975514;48.1158916782;21
315;4037012;25321;25321;LINESTRING(11.5866416605 48.177413512,11.5866416605 48.177413512);11.5866416605;48.177413512;2
316;11152003;22298;22298;LINESTRING(11.4678602745 48.1403437297,11.4678602745 48.1403437297);11.4678602745;48.1403437297;7
317;11273006;7077;7077;LINESTRING(11.5575398412 48.1615066521,11.5575398412 48.1615066521);11.5575398412;48.1615066521;16
318;10199001;30308;30308;LINESTRING(11.6015887525 48.1154408964,11.6015887525 48.1154408964);11.6015887525;48.1154408964;9
319;4072011;1754;1754;LINESTRING(11.6859606796 48.1421719569,11.6859606796 48.1421719569);11.6859606796;48.1421719569;11
320;4119014;10654;10654;LINESTRING(11.5840632378 48.1564067753,11.5840632378 48.1564067753);11.5840632378;48.1564067753;80
321;4157023;7327;7327;LINESTRING(11.5713115082 48.1108110576,11.5713115082 48.1108110576);11.5713115082;48.1108110576;4
322;4006011;2679;2679;LINESTRING(11.5704485297 48.1873731022,11.5704485297 48.1873731022);11.5704485297;48.1873731022;47
323;10075005;3433;3433;LINESTRING(11.5628996798 48.1444251175,11.5628996798 48.1444251175);11.5628996798;48.1444251175;2
324;10838002;18792;18792;LINESTRING(11.5082907218 48.1710471187,11.5082907218 48.1710471187);11.5082907218;48.1710471187;6
325;4014014;6503;6503;LINESTRING(11.5374201406 48.1596823734,11.5374201406 48.1596823734);11.5374201406;48.1596823734;19
326;10743003;26940;26940;LINESTRING(11.6466020617 48.0969085162,11.6466020617 48.0969085162);11.6466020617;48.0969085162;10
327;10597001;28326;28326;LINESTRING(11.5885576672 48.1411688024,11.5885576672 48.1411688024);11.5885576672;48.1411688024;3
328;4099011;1595;1595;LINESTRING(11.5924177758 48.1422732165,11.5924177758 48.1422732165);11.5924177758;48.1422732165;21
329;4108011;3001;3001;LINESTRING(11.6243087173 48.1957973879,11.6243087173 48.1957973879);11.6243087173;48.1957973879;7
330;11338010;15527;15527;LINESTRING(11.532782594 48.2088140844,11.532782594 48.2088140844);11.532782594;48.2088140844;12
331;4173013;19328;19328;LINESTRING(11.5872936122 48.2115778276,11.5872936122 48.2115778276);11.5872936122;48.2115778276;4
332;10534008;26777;26777;LINESTRING(11.5216883632 48.0904830637,11.5216883632 48.0904830637);11.5216883632;48.0904830637;5
333;4147011;325;325;LINESTRING(11.5658619436 48.1128394996,11.5658619436 48.1128394996);11.5658619436;48.1128394996;11
334;4009012;25987;25987;LINESTRING(11.5403767266 48.1831466767,11.5403767266 48.1831466767);11.5403767266;48.1831466767;32
335;4013021;7009;7009;LINESTRING(11.5369658695 48.14920621,11.5369658695 48.14920621);11.5369658695;48.14920621;28
336;10011007;10670;10670;LINESTRING(11.5846447184 48.1576494431,11.5846447184 48.1576494431);11.5846447184;48.1576494431;36
